cityName,stateName,cityCode,locationType,aliasCityName,weightage
Jarmundi,Jharkhand,MMTCC42051,CITY,,5000
Pasaya,Gujarat,MMTCC42052,CITY,,5000
Veldurthi,Andhra Pradesh,MMTCC42053,CITY,,5000
Sabour,Bihar,MMTCC42054,CITY,,5000
Missamari,Assam,MMTCC42055,CITY,,5000
Kherem Bisa,Arunachal Pradesh,MMTCC42056,CITY,,5000
Tauru,Haryana,MMTCC42057,CITY,,5000
Duttapara,West Bengal,MMTCC42058,CITY,,5000
Gangda,Gujarat,MMTCC42059,CITY,,5000
Balumath,Jharkhand,MMTCC42060,CITY,,5000
Chinthakommadinne,Andhra Pradesh,MMTCC42061,CITY,,5000
Bhairampur,Uttar Pradesh,MMTCC42063,CITY,,5000
Naharbari,Assam,MMTCC42064,CITY,,5000
Vembayam,Kerala,MMTCC42065,CITY,,5000
Khagrabari,Assam,MMTCC42066,CITY,,5000
Manapuram,Andhra Pradesh,MMTCC42067,CITY,,5000
Etcherla,Andhra Pradesh,MMTCC42068,CITY,,5000
Shingave,Maharashtra,MMTCC42069,CITY,,5000
Madhira,Andhra Pradesh,MMTCC42070,CITY,,5000
Oriyur,Tamil Nadu,MMTCC42071,CITY,,2380
Jhirniya,Madhya Pradesh,MMTCC42072,CITY,,5000
Mandia,Assam,MMTCC42073,CITY,,5000
Annapur,Maharashtra,MMTCC42074,CITY,,5000
Chinsurah,West Bengal,MMTCC42075,CITY,,5000
Reban Gund,Jammu and Kashmir,MMTCC42076,CITY,,5000
Akpa,Himachal Pradesh,MMTCC42077,CITY,,5000
Tetiya,Bihar,MMTCC42079,CITY,,5000
Taharabad,Maharashtra,MMTCC42080,CITY,,2967
Taksal,Himachal Pradesh,MMTCC42081,CITY,,5000
Mahuva (rajasthan),Rajasthan,MMTCC49096,CITY,,5000
Anapur (rajasthan),Rajasthan,MMTCC42083,CITY,,5000
Bano,Jharkhand,MMTCC42084,CITY,,5000
Hyderpora,Jammu and Kashmir,MMTCC42085,CITY,,5000
Paprola,Himachal Pradesh,MMTCC42086,CITY,,5000
Mechuka,Arunachal Pradesh,MMTCC42087,CITY,,5000
Saoli,Maharashtra,MMTCC42088,CITY,,5000
